board_translation,ip_address,angle,rotation_matrix,board_aruco_ids
"[-0.27261382328382894, 0.4797840848649604, 1.6855192867800037]",192.168.0.103,"(117.33280517950901, -2.0088284700013426, -0.6445108034860559)","[0.9993222090337686, -0.03630284023672697, 0.006101337772573965, -0.011241685390788176, -0.45877893425411004, -0.888479326711791, 0.035053488292078716, 0.8878085341307604, -0.45887608314570877]",[68]
"[0.3964465657594792, 0.2419583422349022, 2.0842189932820117]",192.168.0.104,"(117.78381811438986, -2.9422924666913786, -2.1095824814877)","[0.9980048850380078, -0.06254051977665072, -0.008656374895936195, -0.036762315473059054, -0.46414919937392934, -0.884993815165733, 0.051330123722156736, 0.8835463791486029, -0.4655223026795401]",[11]
"[0.4078657002111123, 0.5492552727639198, 1.5400664139660025]",192.168.0.100,"(117.34834653685162, -0.9912352349627487, -1.6622891261116826)","[0.9994295855080242, -0.028685839729024186, -0.01782207087574477, -0.02900400747866423, -0.45876014340113497, -0.8880866502637835, 0.017299455524290984, 0.888096984245308, -0.4593304642770304]",[88]
