time,f1,f2,f3,f4,COPx,COPy,W,W_sync
1745923158.4658265,7.0603718757629395,2.4669294357299805,1.7460529804229736,15.176709175109863,-19.080286026000977,-5.871617317199707,26.450063705444336,0
1745923158.4756956,7.048194408416748,2.4637045860290527,1.745214819908142,15.170247077941895,-19.08123207092285,-5.883100986480713,26.42736053466797,0
1745923158.476703,7.036529064178467,2.456193447113037,1.7406702041625977,15.165316581726074,-19.09712791442871,-5.89720344543457,26.39870834350586,0
1745923158.476703,7.027367115020752,2.450313091278076,1.735603928565979,15.159043312072754,-19.111465454101562,-5.906051158905029,26.37232780456543,0
1745923158.476703,7.022815227508545,2.4463109970092773,1.7310032844543457,15.156813621520996,-19.124555587768555,-5.910872459411621,26.35694122314453,0
1745923158.477714,7.0180344581604,2.443370819091797,1.7278183698654175,15.155415534973145,-19.133432388305664,-5.916133880615234,26.34463882446289,0
1745923158.477714,7.019343852996826,2.4413790702819824,1.7275389432907104,15.15343189239502,-19.137266159057617,-5.915534019470215,26.341693878173828,0
1745923158.481182,7.0184712409973145,2.442460536956787,1.731040596961975,15.149104118347168,-19.127317428588867,-5.9148478507995605,26.341075897216797,0
1745923158.491063,7.014336109161377,2.442915916442871,1.7322885990142822,15.144759178161621,-19.121408462524414,-5.916834831237793,26.334300994873047,0
1745923158.5105202,7.011718273162842,2.4456663131713867,1.730649471282959,15.140847206115723,-19.117219924926758,-5.913519859313965,26.328880310058594,0
1745923158.5142891,7.006180286407471,2.4496684074401855,1.7276506423950195,15.130549430847168,-19.110078811645508,-5.907467365264893,26.314048767089844,0
1745923158.5377018,6.996715068817139,2.4470129013061523,1.726384162902832,15.117323875427246,-19.109432220458984,-5.911553859710693,26.28743553161621,0
1745923158.5388007,6.9898858070373535,2.445248603820801,1.7260303497314453,15.104193687438965,-19.106477737426758,-5.91261100769043,26.265357971191406,0
1745923158.5456855,6.981502056121826,2.443636417388916,1.7233853340148926,15.08586597442627,-19.10506248474121,-5.910805702209473,26.234390258789062,0
1745923158.5560458,6.9749016761779785,2.442194938659668,1.7226403951644897,15.0671968460083,-19.100418090820312,-5.907884120941162,26.206933975219727,0
1745923158.5703423,6.96862268447876,2.4416446685791016,1.721131682395935,15.052403450012207,-19.09695816040039,-5.9055070877075195,26.183801651000977,0
1745923158.5808668,6.961510181427002,2.438932418823242,1.7191200256347656,15.037646293640137,-19.0980224609375,-5.905937194824219,26.157207489013672,0
1745923158.590691,6.953353404998779,2.4356131553649902,1.7168290615081787,15.023930549621582,-19.100679397583008,-5.908505439758301,26.12972640991211,0
1745923158.6096814,6.9410624504089355,2.4349489212036133,1.7134206295013428,15.01032543182373,-19.099199295043945,-5.912025451660156,26.09975814819336,0
1745923158.6120787,6.935941219329834,2.4354801177978516,1.7127500772476196,14.9746732711792,-19.085525512695312,-5.8957343101501465,26.05884552001953,0
1745923158.6234527,6.932013988494873,2.432957649230957,1.7123403549194336,14.960104942321777,-19.084495544433594,-5.893709182739258,26.037416458129883,0
1745923158.652388,6.926172733306885,2.433621406555176,1.709136724472046,14.950959205627441,-19.08395767211914,-5.8918890953063965,26.01988983154297,0
1745923158.652388,6.921013355255127,2.429960250854492,1.7080004215240479,14.939982414245605,-19.087114334106445,-5.893975734710693,25.99895477294922,0
1745923158.6564255,6.915645122528076,2.4299983978271484,1.709658145904541,14.934748649597168,-19.080402374267578,-5.897411823272705,25.99005126953125,0
1745923158.6727521,6.911889553070068,2.432710647583008,1.7078888416290283,14.93066692352295,-19.076005935668945,-5.895090579986572,25.983156204223633,0
1745923158.6788523,6.9074883460998535,2.4342660903930664,1.7050204277038574,14.91972827911377,-19.07311248779297,-5.890006065368652,25.966503143310547,0
1745923158.6893654,6.8992180824279785,2.428955078125,1.701704978942871,14.907088279724121,-19.081573486328125,-5.894792556762695,25.936965942382812,0
1745923158.7040014,6.893945217132568,2.425180435180664,1.6998796463012695,14.898018836975098,-19.086811065673828,-5.897830486297607,25.917024612426758,0
