time,f1,f2,f3,f4,COPx,COPy,W,W_sync
1766568368.240273,-0.17739295959472656,0.28915882110595703,-0.24740219116210938,0.3485298156738281,0.0,0.0,0.21289348602294922,1
1766568368.3073673,-0.17803287506103516,0.2921323776245117,-0.2455615997314453,0.34868431091308594,0.0,0.0,0.2172222137451172,1
1766568368.3083816,-0.1794595718383789,0.29328322410583496,-0.24744033813476562,0.34991455078125,0.0,0.0,0.21629786491394043,1
1766568368.3083816,-0.18062973022460938,0.29291868209838867,-0.24954891204833984,0.3480110168457031,0.0,0.0,0.21075105667114258,1
1766568368.3093843,-0.17947769165039062,0.29023313522338867,-0.24895477294921875,0.34862709045410156,0.0,0.0,0.21042776107788086,1
1766568368.31054,-0.1795330047607422,0.28887128829956055,-0.24680709838867188,0.3482627868652344,0.0,0.0,0.21079397201538086,1
1766568368.3160806,-0.1790943145751953,0.28871774673461914,-0.24699974060058594,0.3469352722167969,0.0,0.0,0.20955896377563477,1
1766568368.328026,-0.17966079711914062,0.2883915901184082,-0.24699974060058594,0.3485298156738281,0.0,0.0,0.21026086807250977,1
1766568368.3387835,-0.1809406280517578,0.2909431457519531,-0.24843788146972656,0.34847259521484375,0.0,0.0,0.2100372314453125,1
1766568368.3614173,-0.17933082580566406,0.29184460639953613,-0.24962615966796875,0.34716796875,0.0,0.0,0.21005558967590332,1
1766568368.3628213,-0.17702674865722656,0.2901756763458252,-0.24874401092529297,0.34541893005371094,0.0,0.0,0.2098238468170166,1
1766568368.3755093,-0.17699050903320312,0.29021406173706055,-0.24446868896484375,0.34564971923828125,0.0,0.0,0.21440458297729492,1
1766568368.393776,-0.18088531494140625,0.28938913345336914,-0.24421977996826172,0.348876953125,0.0,0.0,0.21316099166870117,1
1766568368.4223282,-0.17823410034179688,0.2906169891357422,-0.24475669860839844,0.34943389892578125,0.0,0.0,0.21706008911132812,1
1766568368.425738,-0.1768627166748047,0.2911539077758789,-0.2463092803955078,0.3485870361328125,0.0,0.0,0.2165689468383789,1
1766568368.439706,-0.1784534454345703,0.290271520614624,-0.24803447723388672,0.347686767578125,0.0,0.0,0.211470365524292,1
1766568368.4408076,-0.17883777618408203,0.2887754440307617,-0.2501239776611328,0.3489723205566406,0.0,0.0,0.2087860107421875,1
1766568368.4506583,-0.17929458618164062,0.2899646759033203,-0.24933815002441406,0.350433349609375,0.0,0.0,0.21176528930664062,1
1766568368.4731898,-0.17819786071777344,0.28866028785705566,-0.24939537048339844,0.35135459899902344,0.0,0.0,0.21242165565490723,1
