timestamp,heel_left,heel_left,heel_left,heel_right,heel_right,heel_right,metacarpal_right,metacarpal_right,metacarpal_right,big_toe_point,big_toe_point,big_toe_point,pinky_toe_point,pinky_toe_point,pinky_toe_point,metacarpal_left,metacarpal_left,metacarpal_left
timestamp,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
2025-12-24 14:56:45.493,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.507,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.507,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.507,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.510,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.515,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.516,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.527,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.528,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.542,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.544,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.546,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.549,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.555,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.555,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.591,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.592,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
2025-12-24 14:56:45.592,0.24929,-0.60320,0.66144,0.30512,-0.64544,0.66144,0.20304,-0.80521,0.66144,0.17372,-0.84397,0.66144,0.10701,-0.76640,0.66144,0.12330,-0.74487,0.66144
